,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
751,Rhus Toxicodendron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain spread large surface nape neck extermities better motion,,,,,,,,,,,,,,,,,,,,,,,,condyles soreness,,,,cold fresh air not tolerated makes skin painful,,,,,,,pain along ulnar nerve,,,,loss power in forearm and fingers and loss sensation fingers tips,,,,sciatica worse cold damp weather night,,,tenderness about knee joint,,,,,tingling feet,,,hot painful joints,pain tearing tendon ligaments fasciae,,numbness formication after over work and exposure,,,,,,limbs stiff paralyzed parlysis trembling after exertion,,,,,,,,,,,,,,,,
752,Rhus Venenata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paralytic drawing right arm  esp wrist and extend fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,Ruta Graveolens,,,,,,,,,,,,,small back loins pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thighs pain when stretching limbs,,pain bones of feet and ankles,,,spine limbs feel bruised,,,,,,,,,,,pain siffness wrist and hands,contraction fingers,,,,sciatica worse lying down night,hips thughs so weak,pain from back down hips and thighs,,legs give out on rising from chair,,,aching pain tendo achilles,,,,,hamstring feel shortened tendons sore,,,,,,ganglia,,,,,,,,,,,,,,,,,,
754,sabadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cracking skin under and beneath toes,,,,,,,,,,,,,,,,,,,,,,,,inflamation toe nail,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Sabina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red shiny swelling gouty nodosities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bruised pain anterior front thighs,,,,,shooting in heels and metatarsal bones,,,,arthritic pain joints gout worse heated room,,,,,,,,,,,,,,,,,,,,,,,,,
756,Salicylicum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sciatica burning pain worse at night,,,knees swollen painfull,,,,,copious foot sweat and ill effects where suppressed,,,acute articular rheumatism  worse touch motion profuse sweat,,,,,,pain shifts,,,,,,,,,,,,,,,,,,,
757,Sambucus Nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debilitating night sweats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands turn blue,,,,,,,,,oedematus swelling legs insteps feet,,,,feet icy cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Sanguinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right sided neuritis better touching parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain in places least covered flesh not in joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism right shoulder left hip joint nape neck,,,,,,,,burning soles and palms,,,,,,,,,,,,,,,toes and soles burn,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Sanicula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cold calmy sweat extermities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,offensive foot sweat,,burning soles,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Sarcolactic Acid,,,,,,,,,,,,,tired feeling back neck shoulders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arms feel asif no strength I them ,,,wrist tired easily from writing,,,,,,,,,stiffness thighs and calves,,,cramp calves,,,,,,,,,extreem weakness from climbing stairs,,,,,,paralytic weakness,,,,,,,,,,,,,,,,
761,Sarracenia pupura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limbs weak ,,,,,,,weak between shoulders,,,,arm bone s pain,,,,,,,,,,,bruised pain in hip knee joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Sarsaparilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain after gonorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism bone pains worse night,,,,tetter or skin disease on hand,,,,,,,,,,trembling hands and feet,burning sides of finger and toes,onychia around nails ulcer cutting pain sensation under nail,,,,,,,,,,,,deep rhagdes on finger and toes,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Scutellaria Lateriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nightly restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness aching ,,,,,,,,,,,,,,,,,,,,,,,twitching muscles moving chorea,,,,,,,,,sharp stinging pains in upper extermities,,,,,,,,,,,,,,,,,,,,,,,,,tremors,,,,,,,,,,,,,,,,,,,,,,
764,Secale Cornutum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cold dry hands and feet excessive smokers with feeling fuzziness in fingers,,,,,,,,,,,,,,,,,,,icy coldness extermities,,,,violent cramps,,,,,,,,,,,,,,,,violent pain in finger tips tingling toes,,,,,,,,,,,,fingers and feet bluish shriveled spread apart or bent backward numb,,,,,,,,trembling staggering gait formication pain spasmodic movements,,,,,,,,,,,,,,,,,,,,
765,Selenium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing pain in hands at night,,,,,,,,,,,,,,,,,,,,,,,,,paralytic pain small back in morning,,,,,,,,,,,,,,,,
766,Sepia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twitching jerking night and day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restlessness in all limbs,,,,,,,,,,,,,,,,,,,,lower extermities lame and stiff tension asif too short,,,,,coldness legs and feet,,,pain in heel,,,,,,,heaviness and bruised feeling,,,,,,,,,,,,,,,,,,,,,,
767,Silicea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the parts lain on go to sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paralytic weakness forearm,,,tremulus hands when using them,,affect finger nails esp if white spots on nails,,,sciatica pains through hips legs feet,,,pain in knees asif tightly bound,loss of power in legs,calves tense and contracted,,,icy cold sweaty feet offensive,ingrowing toe nails pain beneath toes suppurates,,,,,sensation in tip fingers as if suppurating panaritium,,soreness feet from instep through to the sole,,,offensive sweat axillae hand feet,,,,,,,,,,,,,,,,,
768,Solanum Lycoperscum,,,,,,,,,,,,,aching through back dull pain through lumbar region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sharp pain in deltoid and pectorial muscles,,,,,,,,,,pain in middle right arm,pain in right elbow wrist and both sides hand,tingling along right ulnar nerve,,,,,,,intense aching lower limbs,,,,,,,,,,,,,,,,,,,right crural neurolgia,,,,,,,,,,,,,,,,,,
769,Spiranthes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swelling veins of hands,,,,pain in shoulders,,,,,,,,,pain in articulation hands,,,,,sciatica pain esp right side,,,,,,,,coldness feet and toes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Squilla Maritima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icy cold hands and feet with warmth rest of body,,,,,,,,,,,,,feet get sore from standing ,,,,,,,,,tender soft feet shop girls,,,,,,,,,,,,,,,,,,,
771,Stannum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limbs suddenly give out when atempting sit down,,,,,,,,,,,,,spasmodic twitching muscles forearm and hand,,,,fingers jerk holding pen,,,,,,,,,,ankles swelling,,,,,,,,,,dizziness weakness when descending,,neritis,,paralytic weakness drops things typewriters paralysis,,,,,,,,,,,,,,,,
772,Staphysagria,,,,,,,,,,,,,backache worse morning before rising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extermities feel beaten and painful,,,,,,,,,,,,,,,,,,,,,,,,,dull ache nates extend to hip joint and small back,,,,esp calves muscles feel bruised,,,,,,joints stiff,,,,,,,crural neurolgia,,,,,,,,,,,,,,,,,,
773,Stellaria Media,,,,,,,,,,,,,sharp pain small back over kidney and gluteal region extend down thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain shoulder and arms,,,,,,,,,,,,,,,,,synovitis,,rheumatic pain calves and legs,,,,,,,,,bruised feeling,,,rheumatoid pain different parts body,,,,,,,,,,,,,,,,,,,
774,Sticta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pains preceds catarrhal symptoms,,,,,,,,,,,,,,,,,,,,,,,,,spot of inflamation and redness over affected joint,,,,,,,,,,,,,,,,,,,,,,,joints and nighboring muscles red swelling painfull,,,,,,rheumatic pain right shoulder joint deltoid and biceps,,,,,,,,,,,,,,,,,house maids knee ,legs feel floating in air,,,,,,,swelling heat redness of joints,,,shooting pain knees,,chorea like spasms,pain sever and drawing,,,,,,,,,,,,,,,,,,,
775,Stramonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convulsion upper extermities and isolated groups muscles,,,,,,,,,,,,,,,,,,,,,,,,,violent pain in left hip,,,,,,,,,,,trembling twitching tendons staggering gait,,,,chorea spasm partial constantly changing,,,,,,,,,,,,,,,,,,,,
776,Strontia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism with diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gnawing in bone marrow,veins hands engorged,,,,rheumatic pain right shoulder,,,,,,,,,,,,,,sciatica with oedema swelling ankle,,,,,cramps calves and soles,chronic spsm s esp ankle joint oedema swelling ,,icy cold feet,,,rheumatic pain esp in joints,,,,,,,,,,,,,,,,,,,,,,,,,
777,Strophanthus Hispidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swelling dropsy anasaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,Strychninum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tetanic convulsions and opisthotonos,,,,,,,,,,,,,,,,,,,,,,,,,spasm provoked by slightest touch and attempt to move,,,,,,,,,,,,,,,,,,,,,,limbs stiff,shocks in muscles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatism with stiff joints,,,violent jerking twitching trembling,,,cramp like pains,,,,,,,,,,,,,,,,,,,
779,Sulfonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extreem restlessness muscular twitchings,,,,,,,,,,,,,,,,,,,,,,,knees jerk disappear,,,,,,,,,,,,anaesthesia loss sensation legs,ataxic movements staggering gait cold weak trembling legs seems too heavy,,,,stiffness and paralysis both legs,,,,,,,,,,,,,,,,
780,Sulphur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic gout with itching,rheumatic pain left shoulder,,,,drawing and tearing in arms and hands,,,,,trembling hot sweaty hands,,,,,,,,stiffness knees and ankles,,,,,,,burning soles and hands at night,,,,,,can not walk erect stoop shoulder,,ganglion,sweat armpits smelling like garlic,,,,,,,,,,,,,,,,,
781,Sulphuricum Acidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cram like paralytic contraction in arms hands,,,,,,jerking fingers while writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Syphilinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscles contracted in hard knots,,,,,,,,,,,,,,,,,,,,,,,rheumatism muscles caked in hard knot or lumps,,,,,indolent ulcers,rheumatism shoulder joint at insertion deltoid run around,,,,,,,,,always washing hands,,,,,sciatica worse night better about day break,,sever pain in long bones,,,,,,,redness and rawness between toes,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,Tabacum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limbs tremble,,,,,,,,,,,feebleness in arm,,,,,,,,,,,,,,icy cold hands and leg,,,,,,,,,,,,gait shuffling unsteady,,,,paralysis follow appoplexy,,,,,,,,,,,,,,,,
784,Tarentula cubensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands tremble turgid with blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Tarentula Hispania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yawning with uneasiness legs must move constantly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weakness legs choreac movements,,,,,,,extaordinary contraction and movements,,,numbness legs twitching and jerking,,multiple sclerosis with trembling,,,,,,,,,,,,,,,,,,,,
786,Taraxacum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very restless painful to touch limbs,,,,,,,,,,,,,,,,,,,,,,,,neurolgic pain in knee better pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Teucrium Marum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing pain in arms and legs,,,,,,affection of fingertips and toe joints,,,,,,,,,,,,,pain toe nails asif if grows into flesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Thallium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formication beginning fingers extend through pelvis perineum inner thighs to feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cyonosis of extermities,,,,chr myelitis,,,,,,,,,,,,,,,,numbness fingers toes extend lower extermities involve lower abdomen and perineum ,,,paralysis lower limbs,,,,,,,,,,,,,,,very tired,,,trembling lancinting pains like electric shocks,,,paralytic paralysis feeling,,,,,,,,,,,,,,,,
789,Thaspium Aureum Zizia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lamenessarms and spasmodic twitching,,,,,,,,,,,,,,,fidgety uneasy legs,,,,,,,,,,unusual tired feeling,,chorea esp during sleeping,,,,,,,,,,,,,,,,,,,,
790,Thuja Occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular twitchings weakness trembling,,,,,,,,,,,,,,,,fingers tip swollen red feel dead,nails brittle,,,,,,,,,,pain heels and tendo achilles,,ingrowing toe nails,,crackling in joints,,,,,when walking limbs feel asif made of wood or glass and would break easily,,,,,,,,,,,,,,,,,,,,
791,Thyroidinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic arthritis with tendency obesity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coldness and cramps extermities,,,trembling lims and whole entire body,,,,,,peeling skin of lower limbs cold extermities,,,,,,,,,,,,,,,,,,,oedema swelling legs,,,,,,,,,,,,,aching pains,,,,,,,,,,,,,,,,,,,
792,Tongo Diptrix Odorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tearing pain hip joints femur knee esp left side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Torula Cerevisiae,,,,,,,,,,,,,backache tired and weak from elbows and knees down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hands cold like ice and go to sleep easily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,Triosteum Perfoliatum,,,,,,,,,,,,,rheumatic pain back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in limbs,,aching bones,,,,,,,,,,,,,,,,,,,,,,,,calves numb ,,,,,,stiffness all joints,,,,,,,,,,,,,,,,,,,,,,,,,
795,Urtica Urens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain in acute gout deltoid,,,,pain in ankles and wrists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,Ustilago Maydis,,,,,,,,,,,,,sensation boilling water alon back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular debility,,,,,,,,,,,,,,,,,,,muscular contractions esp lower limbs,,,,,,,,,,,,,,,,,clonic tetanic movements,,,,,,,,,,,,,,,,,,,,
797,Valeriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rheumatic pain in limbs,,,,,,,,,,,,,,,,,,,,,sciatica pain worse standing and resting on floor better walking,,,,,,,pain in heels when sitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Variolinum,,,,,,,,,,,,,excrciating backache,,,,,,,,,,,,,,,,,pain shift from back to abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrist pain,,,,,,,,,,,aching in legs ,,,,,,,,,,tired all over with restlessness,,,,,,,,,,,,,,,,,,,,,,
799,Veratrum Album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arm feels swollen cold paralytic,,,,,,,,,,sciatica pains like electric flashes,,,,,cramps in calves,,,,,,soreness tenderness joints,,,,,,,neurolgia brachial plexus,,,,,,,,,,,,,,,,,,
800,Veratrum Viride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acute rheumatism fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,violent electric like shocks in limbs,convulsive twitching,,,,,,aching pain back of neck and shoulders,,,,,,,,,,,,,,,,,,,,,,,,,sever pain in joints and muscles,,,,,,,,,,,,,,,,,,,,,,,,,
801,Verbascum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lower extermities feel heavy,,,,,,,,,,,,,,,,,,,,thumb feels numb,,,stiffness soreness of joints of lower extermities,,,,,,,,,,,cramp like pain in soles right foot knee,,,,,,,,nerolgic pain in left ankle,,,,,,,,,,,,,,,,,,
802,Viburnum Opulus,,,,,,,,,,,,,feel asif back would break sacral backache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stiff sore feeling nape neck,,,,,,,,,,,,,,,lower extermities weak and heavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Viola Odorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trembling limbs,,,,,,,,,,,rheumatism deltoid muscle,,,pressing pain in right corpal and metacorpal joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,Vipera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obliged keep extermities elevated when allowed hang down seems asif burst and pain unbearable,,,,,,vericose veins acute phlebitis veins swollen sensitive bursting pain,,,,,,,,,,,,,,,,,sever cramps in lower extermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Viscum Album,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,periodic pains from sacrum into pelvis worse in bed with pain into thighs and upper etermities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dropsy extermities,,,,general tremor asif all muscles in state of fibrillary contrction,,,,,itching all over,pain alternate knee and ankle with shoulder and elbow,,,,,,,,,,,,,,sciatica ,,tearing shooting pain in both thighs and upper extermities,,,,,,a glow rise from feet to head seems to be on fire,,,,,,sensation of a spider crawling over back of hand and foot,,,compressing pain in feet,,,,,,,,,,,,,,,,,,,
806,Wyethia,,,,,,,,,,,,,pain in back extend to end spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain right arm,,,stiffness wrist and hand,,,,,,,,,,,,,,,,,,,,,,,,aching pain all over,,,,,,,,,,,,,,,,,,,
807,Xanthoxylum,,,,,,,,,,,,,pain nape extending down back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neurolgic shooting pain as from electricity all over limbs,,,,,paralysis left side following spinal disorders,,,,,,left arm numb,,,,,,,,,,sciatica worse hot weather,,,,,,,,,,,,,,numbness left side impirement of nervous motion,,,,anterior crural neurologia,,haemplegia,,,,,,,,,,,,,,,,
808,Xerophyllum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limbs feel stiff,muscular lameness trembling,,,,,,,,,,,,,,,,,,,,,,,pain in knees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,X Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palms rough and scaly,,,,,,,,,,,,,,,,,,,,generally tired and sick feeling,,,rheumatic pains,,,,,,,,,,,,,,,,,,,
810,Zincum Metallicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chillblains,,,,,,,,,,,,,,,,,,,,,,,,,convulsions with pale face sweaty,,,,,,,,,,,,,,,,,,,,,,,lameness weakness trembling twitching various muscles,,large vericose veins on legs,,,,,,,transverse pain esp in upper extermities,,,,,,,,,,,,,,,,,,,feet continued motion can not keep still,,soles feet sensitive steps with entire sole of footon floor,,,,,,,,,,,,,,,,,,,,,,,,,,
811,ZincumValerianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,severe pain in neck and spine,,,,,,,,,,,,,,,,sciatica neurolgia,,,,can not sit still must keep legs in constant motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
